species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
arabica,"tanzania,_united_republic_of",mbeya,other,washed,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,1600,1600
arabica,guatemala,oriente,bourbon,other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,1219,1219
arabica,colombia,cauca,caturra,washed,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,1700,1700
arabica,mexico,san_pedro_cotzilnam,typica,semi_washed,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,1450,1450
arabica,mexico,veracruz,bourbon,washed,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,1170,1170
arabica,mexico,la_concordia,bourbon,washed,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,1400,1400
arabica,uganda,kasese,other,natural,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,1700,1700
arabica,guatemala,san_marcos,bourbon,washed,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,1700,1700
arabica,costa_rica,tarrazu,caturra,washed,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,1700,1700
arabica,guatemala,huehuetenango,caturra,washed,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,1116,1116
arabica,guatemala,solola,caturra,washed,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,1565,1565
arabica,guatemala,norte,bourbon,washed,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,3280,3280
arabica,colombia,huila,caturra,washed,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,1600,1950
arabica,nicaragua,jinotega,caturra,natural,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,900,1100
arabica,brazil,cerrado,catuai,natural,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,1150,1150
arabica,costa_rica,tarrazu,caturra,washed,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,1850,1850
arabica,ethiopia,kaffa_zone,gesha,natural,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,1545,1668
arabica,"tanzania,_united_republic_of",arusha,other,washed,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,1400,1400
arabica,colombia,huila,other,washed,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,1530,1530
arabica,kenya,kenya,sl28,washed,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,1,500
arabica,brazil,minas_gerais,mundo_novo,natural,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,894,1183
arabica,guatemala,oriente,bourbon,washed,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,1310,1310
arabica,el_salvador,apaneca,bourbon,natural,8.42,8.08,7.5,7.17,7.58,8.17,10.0,10.0,1500,1500
arabica,colombia,huila,caturra,washed,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,1750,1750
arabica,uganda,mt._rwenzori,other,washed,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,1500,1700
arabica,colombia,huila,caturra,washed,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,442,442
arabica,taiwan,nanxi_dist.,typica,washed,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,968,968
arabica,colombia,huila,caturra,washed,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,1600,1950
arabica,guatemala,aldea_xeucalvitz,bourbon,washed,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,1550,1550
arabica,mexico,santo_domingo_cacalotepec,typica,washed,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,1480,1480
arabica,ethiopia,ethiopia,other,natural,7.92,7.92,7.83,8.0,7.92,7.92,10.0,8.67,1800,1800
arabica,ethiopia,sidamo,gesha,natural,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,1800,1800
arabica,honduras,comayagua,caturra,washed,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,1500,1500
arabica,guatemala,huehuetenango,caturra,washed,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,1658,1755
arabica,colombia,huila,other,washed,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,1600,1600
arabica,guatemala,oriente,bourbon,natural,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,1219,1219
arabica,guatemala,oriente,bourbon,other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,1219,1219
arabica,colombia,huila,unknown,washed,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,1480,1480
arabica,colombia,santander,caturra,natural,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,1450,1450
arabica,colombia,huila,caturra,washed,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,1600,1950
arabica,ethiopia,sidamo,other,natural,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,1550,1550
arabica,brazil,south_of_minas,yellow_bourbon,natural,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,1260,1260
arabica,colombia,cauca,caturra,washed,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,1700,1700
arabica,kenya,blend,sl34,washed,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,1200,1200
arabica,kenya,central_kenya,sl28,washed,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,1650,1650
arabica,uganda,kasese,other,washed,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,1700,1700
arabica,brazil,south_of_minas,bourbon,natural,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,890,890
arabica,mexico,veracruz,mundo_novo,washed,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,1300,1300
arabica,thailand,chiangrai,catimor,natural,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,1350,1350
arabica,brazil,south_of_minas,bourbon,natural,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,934,934
arabica,taiwan,leye,typica,washed,7.83,7.75,7.83,7.75,7.83,7.75,10.0,10.0,1200,1200
arabica,colombia,huila,caturra,washed,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,1600,1950
arabica,taiwan,台中和平區,typica,washed,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,950,950
arabica,colombia,santander,caturra,natural,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,1550,1550
arabica,mexico,xicotepec_de_juarez,typica,washed,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,900,900
arabica,mexico,la_concordia,typica,washed,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,1500,1500
